FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2014,PB - Riley Bark,S (Stoker Boiler),Wood and Wood Residuals (dry basis),TIER 4,380.0,mmBtu/hr,,,,,1644444.444444444,187.7219685438863,23399,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2015,PB - Riley Bark,S (Stoker Boiler),Wood and Wood Residuals (dry basis),TIER 4,380.0,mmBtu/hr,,,,,775000,88.47031963470319,23400,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1003943,GREIF RIVERVILLE LLC,51009.0,AMHERST COUNTY,322110,2011,GP-Power Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,244.0,mmBtu/hr,0.0,gallons,0,0,883,Greif,BLR05,1,244.0,8640,Wet Biomass,400,322,24521,100-499,VA,3184
1003943,GREIF RIVERVILLE LLC,51009.0,AMHERST COUNTY,322110,2012,GP-Power Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,244.0,mmBtu/hr,0.0,gallons,0,0,885,Greif,BLR05,1,244.0,8640,Wet Biomass,400,322,24521,100-499,VA,3184
1003943,GREIF RIVERVILLE LLC,51009.0,AMHERST COUNTY,322110,2012,GP-Power Boilers,OCS (Other combustion source),Residual Fuel Oil No. 6,Tier 1 (Equation C-1),,,244.0,mmBtu/hr,0.0,gallons,0,0,2803,Greif,BLR05,1,244.0,8640,Wet Biomass,400,322,24521,100-499,VA,3184
1003976,DUPONT TEIJIN FILMS,51041.0,CHESTERFIELD COUNTY,326113,2012,GP-Boilers and Heaters,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,51.0,mmBtu/hr,0.0,gallons,0,0,913,Du Pont Teijin,Boiler # 2,1,51.0,7222,Gas 1,350,326,23836,100-499,VA,3165
1003976,DUPONT TEIJIN FILMS,51041.0,CHESTERFIELD COUNTY,326113,2012,GP-Boilers and Heaters,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,51.0,mmBtu/hr,0.0,gallons,0,0,913,Du Pont Teijin,Boiler #1,1,51.0,7222,Gas 1,350,326,23836,100-499,VA,3166
1003976,DUPONT TEIJIN FILMS,51041.0,CHESTERFIELD COUNTY,326113,2012,GP-Boilers and Heaters,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,51.0,mmBtu/hr,0.0,gallons,0,0,913,Du Pont Teijin,Boiler #3,1,51.0,7222,Gas 1,350,326,23836,100-499,VA,3167
1003976,DUPONT TEIJIN FILMS,51041.0,CHESTERFIELD COUNTY,326113,2011,GP-Boilers and Heaters,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,51.0,mmBtu/hr,0.0,gallons,0,0,915,Du Pont Teijin,Boiler # 2,1,51.0,7222,Gas 1,350,326,23836,100-499,VA,3165
1003976,DUPONT TEIJIN FILMS,51041.0,CHESTERFIELD COUNTY,326113,2011,GP-Boilers and Heaters,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,51.0,mmBtu/hr,0.0,gallons,0,0,915,Du Pont Teijin,Boiler #1,1,51.0,7222,Gas 1,350,326,23836,100-499,VA,3166
