FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
KEYSTONE PROTEIN CO,17026,,2077,2017,"Boiler 2, 400hp",Natural gas/No.2 fuel oil,,,15,MMBtu/hr,
KEYSTONE PROTEIN CO,17026,,2077,2017,"Boiler3, 800hp",Natural gas/No.2 fuel oil,,,29.7,MMBtu/hr,
TUSCARORA HARDWOODS INC,17024,,2426,2018,AFS boiler,Wood,,,27.4,MMBtu/hr,
VITRO FLAT GLASS LLC,17013,,3211,2016,ORR & Sembower boiler 1,Natural gas/No.2 fuel oil,,,25.1,MMBtu/hr,
VITRO FLAT GLASS LLC,17013,,3211,2016,ORR & Sembower boiler 3,Natural gas/No.2 fuel oil,,,25.1,MMBtu/hr,
"E. E. AUSTIN & SON, INC., D.B.A. AUSTIN SERVALL CONCRETE",16503,,3273,2016,Pierson boiler,Diesel fuel,,,1.25,MMBtu/hr,
"E. E. AUSTIN & SON, INC., D.B.A. AUSTIN SERVALL CONCRETE",16503,,3273,2016,Cleaver brrook boiler,Diesel fuel,,,0.28,MMBtu/hr,
WOOLRICH INC,17779,,2231,2016,E Keeler DS50 boiler,No.2 fuel oil,,,62.5,MMBtu/hr,
WOOLRICH INC,17779,,2231,2016,E Keeler CP boiler,Natural gas,,,9.99,MMBtu/hr,
KNOUSE FOODS COOP INC,17307,,2033,2019,No.1 boiler,Natural gas/No.2 fuel oil/No.5 fuel oil,,,29.3,MMBtu/hr,
KNOUSE FOODS COOP INC,17307,,2033,2019,No.2 boiler,Natural gas/Diesel,,,9.9,MMBtu/hr,
FIRST QUALITY RETAIL SVC LLC,19406,,2676,2015,Superior boiler 1,Natural gas,,,26.46,MMBtu/hr,
FIRST QUALITY RETAIL SVC LLC,19406,,2676,2015,Superior boiler 2,Natural gas,,,26.46,MMBtu/hr,
FIRST QUALITY RETAIL SVC LLC,19406,,2676,2015,Superior boiler 3,Natural gas,,,9.04,MMBtu/hr,
DUPONT SPECIALTY PROD USA LLC,18848,,3861,2017,Boiler 1,Natural gas/No.6 fuel oil,,,30.5,MMBtu/hr,
